wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744170703,1554768,1775744169885,1523428,-804.546,1555413.8,-326.371
1775744170803,1554768,1775744169885,1528320,-804.546,1560213.8,-324.454
1775744170903,1554768,1775744169885,1533217,-804.546,1565013.8,-322.434
1775744171003,1554768,1775744169885,1538020,-804.546,1569813.8,-322.371
1775744171103,1554768,1775744169885,1542916,-804.546,1574613.8,-320.371
1775744171204,1554768,1775744169885,1542916,-804.546,1579461.8,-421.371
1775744171304,1576560,1775744170385,1547811,-804.546,1582053.8,-373.392
1775744171404,1576560,1775744170385,1552611,-804.546,1586853.8,-373.392
1775744171504,1576560,1775744170385,1557412,-804.546,1591653.8,-373.371
1775744171603,1576560,1775744170385,1562213,-804.491,1596408.4,-372.405
1775744171703,1600752,1775744170885,1567107,-804.491,1601400.4,-374.447
1775744171804,1600752,1775744170885,1571909,-804.491,1606248.4,-375.405
1775744171904,1600752,1775744170885,1576802,-804.491,1611048.4,-373.467
1775744172004,1600752,1775744170885,1581698,-804.491,1615848.4,-371.467
1775744172103,1600752,1775744170885,1586498,-804.491,1620600.4,-370.467
1775744172204,1624944,1775744171385,1591299,-804.491,1625640.4,-375.447
1775744172304,1624944,1775744171385,1596194,-804.491,1630440.4,-373.467
1775744172403,1624944,1775744171385,1600995,-804.491,1635192.4,-372.447
1775744172504,1624944,1775744171385,1605890,-804.491,1640040.4,-371.467
1775744172604,1624944,1775744171385,1610785,-804.491,1644840.4,-369.488
1775744172703,1624944,1775744171385,1615587,-804.442,1649594.8,-368.496
1775744172804,1649088,1775744171884,1620483,-804.442,1654634.8,-371.496
1775744172903,1649088,1775744171884,1625283,-804.442,1659386.8,-370.496
1775744173004,1649088,1775744171884,1630177,-804.442,1664234.8,-369.537
1775744173103,1649088,1775744171884,1634978,-804.442,1668986.8,-368.516
1775744173204,1649088,1775744171884,1639873,-804.442,1673834.8,-367.537
1775744173303,1673280,1775744172385,1644676,-804.442,1678730.8,-369.475
1775744173403,1673280,1775744172385,1649572,-804.442,1683530.8,-367.475
1775744173504,1673280,1775744172385,1654465,-804.442,1688378.8,-366.537
1775744173619,1673280,1775744172385,1664164,-804.398,1693900.9,-279.519
1775744173704,1673280,1775744172385,1664164,-804.398,1697980.9,-364.519
1775744173804,1697520,1775744172885,1669057,-804.398,1703020.9,-367.581
1775744173904,1697520,1775744172885,1673860,-804.398,1707820.9,-367.519
1775744174004,1697520,1775744172885,1678661,-804.398,1712620.9,-367.498
1775744174104,1697520,1775744172885,1683556,-804.398,1717420.9,-365.519
1775744174204,1697520,1775744172885,1688356,-804.398,1722220.9,-365.519
1775744174322,1721760,1775744173385,1693248,-804.398,1728124.9,-386.602
1775744174404,1721760,1775744173385,1698048,-804.398,1732060.9,-368.602
