seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
245,1775781781108,1775781781504,4944,1008089441431845,5897040,1008212193878986,1
246,1775781781612,1775781782072,4944,1008089441431845,5921232,1008212697768569,1
247,1775781782117,1775781782507,4944,1008089441431845,5945472,1008213202167944,1
248,1775781782623,1775781783096,4944,1008089441431845,5969712,1008213707984350,1
249,1775781783127,1775781783505,4944,1008089441431845,5993952,1008214212711329,1
250,1775781783632,1775781784121,4944,1008089441431845,6018192,1008214717406693,1
251,1775781784137,1775781784505,4944,1008089441431845,6042432,1008215222192839,1
252,1775781784642,1775781785144,4944,1008089441431845,6066672,1008215727444141,1
253,1775781785146,1775781785506,4944,1008089441431845,6090864,1008216231386015,1
254,1775781785652,1775781786065,4944,1008089441431845,6115104,1008216737106067,1
255,1775781786107,1775781786508,4944,1008089441431845,6136944,1008217191959192,1
256,1775781786611,1775781787088,4944,1008089441431845,6161184,1008217696567265,1
257,1775781787115,1775781787503,4944,1008089441431845,6185328,1008218200082213,1
258,1775781787619,1775781788113,4944,1008089441431845,6209568,1008218704553462,1
259,1775781788125,1775781788507,4944,1008089441431845,6233808,1008219210038827,1
260,1775781788630,1775781789138,4944,1008089441431845,6258048,1008219715131952,1
261,1775781789135,1775781789587,4944,1008089441431845,6282336,1008220220842785,1
262,1775781789640,1775781790060,4944,1008089441431845,6306528,1008220724942316,1
263,1775781790144,1775781790510,4944,1008089441431845,6330768,1008221229616274,1
264,1775781790649,1775781791087,4944,1008089441431845,6355008,1008221734509034,1
265,1775781791154,1775781791504,4944,1008089441431845,6379248,1008222239878930,1
266,1775781791608,1775781792108,4944,1008089441431845,6401040,1008222693191169,1
267,1775781792111,1775781792505,4944,1008089441431845,6425184,1008223196204242,1
268,1775781792617,1775781793132,4944,1008089441431845,6449424,1008223701945388,1
269,1775781793122,1775781793503,4944,1008089441431845,6473712,1008224207232887,1
270,1775781793628,1775781794154,4944,1008089441431845,6498000,1008224713329710,1
271,1775781794133,1775781794502,4944,1008089441431845,6522240,1008225218288304,1
272,1775781794639,1775781795091,4944,1008089441431845,6546528,1008225724285491,1
273,1775781795141,1775781795506,4944,1008089441431845,6570624,1008226226850178,1
274,1775781795344,1775781795897,4944,1008089441431845,6580368,1008226429741116,0
