wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777347538026,192.168.35.90:57842,0.06,-12.07,1777347535782,-1830.5,4299168,4317533,0,drift
1777347538527,192.168.35.90:57842,-3.12,-7.90,1777347536285,-1830.5,4321248,4339805,0,drift
1777347539124,192.168.35.90:57842,1.20,0.63,1777347536790,-1830.4,4343328,4366173,0,drift
1777347539626,192.168.35.90:57842,-0.40,0.78,1777347537294,-1830.4,4365408,4388189,0,drift
1777347540127,192.168.35.90:57842,-2.69,0.04,1777347537798,-1830.4,4387488,4410205,0,drift
1777347540724,192.168.35.90:57842,-0.47,-37.22,1777347538755,-1830.3,4431456,4436573,0,drift
1777347541226,192.168.35.90:57842,-3.06,-36.05,1777347539260,-1830.3,4453728,4458845,0,drift
1777347541728,192.168.35.90:57842,-1.65,-32.05,1777347539765,-1830.3,4475712,4480861,0,drift
1777347542229,192.168.35.90:57842,1.93,-31.58,1777347540269,-1830.3,4497792,4502621,0,drift
1777347542826,192.168.35.90:57842,0.18,-27.32,1777347540269,-1830.3,4497792,4529245,0,drift
1777347543328,192.168.35.90:57842,-3.11,-18.03,1777347541277,-1830.3,4541856,4551517,0,drift
1777347543829,192.168.35.90:57842,1.77,-14.55,1777347541782,-1830.2,4563840,4573277,0,drift
1777347544426,192.168.35.90:57842,-1.61,-4.69,1777347542287,-1830.2,4585824,4599901,0,drift
1777347544927,192.168.35.90:57842,-2.89,-7.90,1777347542287,-1830.2,4585824,4621917,0,drift
1777347545428,192.168.35.90:57842,2.78,4.35,1777347543297,-1830.2,4629984,4643933,0,drift
1777347546026,192.168.35.90:57842,-0.71,-42.36,1777347543753,-1830.2,4651968,4670301,0,drift
1777347546528,192.168.35.90:57842,-1.67,-38.72,1777347544256,-1830.2,4674144,4692573,0,drift
1777347547125,192.168.35.90:57842,-0.27,-28.11,1777347544761,-1830.2,4696032,4718941,0,drift
1777347547626,192.168.35.90:57842,-1.96,-27.49,1777347545268,-1830.2,4718208,4740957,0,drift
1777347548127,192.168.35.90:57842,-2.15,-22.90,1777347545773,-1830.2,4740192,4762973,0,drift
1777347548629,192.168.35.90:57842,2.47,-16.30,1777347546278,-1830.1,4762272,4784989,0,drift
1777347549226,192.168.35.90:57842,-1.71,-3.54,1777347547290,-1830.1,4806432,4811613,0,drift
1777347549728,192.168.35.90:57842,-3.78,-1.44,1777347547795,-1830.1,4828416,4833629,0,drift
1777347550324,192.168.35.90:57842,-0.01,-41.20,1777347548251,-1830.1,4850496,4859997,0,drift
1777347550826,192.168.35.90:57842,-1.14,-39.53,1777347548757,-1830.1,4872576,4882013,0,drift
1777347551327,192.168.35.90:57842,-3.43,-31.52,1777347549262,-1830.1,4894560,4904285,0,drift
1777347551829,192.168.35.90:57842,0.62,-31.35,1777347549767,-1830.1,4916640,4926045,0,drift
1777347552426,192.168.35.90:57842,-0.12,-21.59,1777347550272,-1830.1,4938720,4952669,0,drift
1777347552927,192.168.35.90:57842,-2.05,-22.73,1777347550775,-1830.2,4960800,4974685,0,drift
1777347553429,192.168.35.90:57842,0.86,-14.01,1777347551282,-1830.2,4982784,4996701,0,drift
1777347554026,192.168.35.90:57842,-0.41,-4.83,1777347551786,-1830.3,5004864,5023325,0,drift
1777347554528,192.168.35.90:57842,-0.52,-3.17,1777347552292,-1830.3,5026944,5045341,0,drift
1777347555029,192.168.35.90:57842,1.66,-1.17,1777347552797,-1830.3,5048928,5067101,0,drift
1777347555626,192.168.35.90:57842,-1.16,-44.85,1777347553251,-1830.4,5071008,5093725,0,drift
1777347556127,192.168.35.90:57842,-0.87,-35.81,1777347553757,-1830.4,5093088,5115997,0,drift
1777347556731,192.168.35.90:57842,-2.55,-32.36,1777347554766,-1830.5,5137152,5142365,0,drift
1777347557328,192.168.35.90:57842,-0.38,-25.86,1777347555271,-1830.5,5159232,5168733,0,drift
1777347557925,192.168.35.90:57842,-0.46,-17.49,1777347555776,-1830.5,5181216,5195101,0,drift
1777347558426,192.168.35.90:57842,-0.91,-9.97,1777347556281,-1830.5,5203296,5217373,0,drift
1777347558928,192.168.35.90:57842,-2.46,-13.93,1777347556281,-1830.6,5203296,5239389,0,drift
1777347559428,192.168.35.90:57842,2.81,-7.50,1777347557291,-1830.6,5247456,5261149,0,drift
1777347560026,192.168.35.90:57842,1.00,4.06,1777347557796,-1830.6,5269344,5287773,0,drift
1777347560527,192.168.35.90:57842,-0.33,-38.87,1777347558252,-1830.6,5291520,5310045,0,drift
1777347561029,192.168.35.90:57842,-2.02,-37.25,1777347558758,-1830.7,5313600,5332061,0,drift
1777347561626,192.168.35.90:57842,-1.40,-27.63,1777347559263,-1830.7,5335488,5358429,0,drift
1777347562128,192.168.35.90:57842,-2.47,-28.70,1777347559768,-1830.7,5357664,5380445,0,drift
1777347562725,192.168.35.90:57842,2.90,-18.23,1777347560274,-1830.6,5379744,5406813,0,drift
1777347563226,192.168.35.90:57842,-0.35,-11.78,1777347561285,-1830.6,5423808,5428829,0,drift
1777347563727,192.168.35.90:57842,-1.84,-6.05,1777347561788,-1830.6,5445888,5451101,0,drift
1777347564229,192.168.35.90:57842,4.11,-2.82,1777347562293,-1830.6,5467872,5472861,0,drift
1777347564826,192.168.35.90:57842,-0.96,2.76,1777347562797,-1830.5,5489952,5499485,0,drift
